event,date,status,department,institution,categories
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Hydrology,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Economics,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,CNAS - Mathematics,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Rural  & Survey Engineering School,National Technical University of Athens,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Physics and Astronomy,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Med,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Staff,"Planning, Design & Construction",UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Earth and Planetary Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Toxicology,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Arboretum,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,"Planning, Design and Construction",UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Ecology and Evolutionary Biology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Economics,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,NA,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography Graduate Group,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,GIS and IDS,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Sustainability Studies,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Political Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Political Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Political Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Epidemiology and Biostatistics,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Chicano Studies & Sociology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,NA,NA,NA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCLA American Indian Studies Center,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Plant Sciences,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Real Estate Business Intelligence,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,SOM-Student Affairs,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,EEOB,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Earth and Planetary Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Geospatial sales consultant.,California Surveying and Drafting Supply,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Earth & Planetary Sciences,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Epidemiology and Biostatistics,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Neurology,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Qualcomm Institute,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Grad Student Alum,Geography,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Urban & Regional Planning,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,School of Public Policy,University of Southern California,NA
GIS Week,2020-11-17T00:00:00Z,Librarian,Library,University of Southern California,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCLA Library Data Science Center,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Consultant,CIS,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,NA,HRNK,NA,NA
GIS Week,2020-11-17T00:00:00Z,USC (spouse),Political Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Mathematics,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Human Ecology,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Pediatrics,UCLA,NA
