event,date,status,department,institution,categories
UC Love Data 2022,2022-02-17,Extension,Extension,UCLA,Data Management and Sharing
UC Love Data 2022,2022-02-17,Clinical Pharmacy,Post-Doctoral Researcher,UC San Francisco,Data Management and Sharing
UC Love Data 2022,2022-02-17,Staff,"Social Sciences Center for Education,  Research,  and Technology",UCLA,Data Management and Sharing
UC Love Data 2022,2022-02-17,Staff,Psychiatry & Behavioral Sciences,UC San Francisco,Data Management and Sharing
UC Love Data 2022,2022-02-17,Osher,Graduate Student,UC San Francisco,Data Management and Sharing
UC Love Data 2022,2022-02-17,Perioperative Services for UCLA Health,Perioperative Services for UCLA Health,UCLA,Data Management and Sharing
UC Love Data 2022,2022-02-17,Staff,Faculty,UC Davis,Data Management and Sharing
UC Love Data 2022,2022-02-17,Center for Mind and Brain,Post-Doctoral Researcher,UC Davis,Data Management and Sharing
UC Love Data 2022,2022-02-17,NCEAS,NCEAS,UC Santa Barbara,Data Management and Sharing
UC Love Data 2022,2022-02-17,IT Services,IT Services,UC San Diego,Data Management and Sharing
UC Love Data 2022,2022-02-17,Staff,Bren School,UC Santa Barbara,Data Management and Sharing
UC Love Data 2022,2022-02-17,Nursing,Graduate Student,UC Irvine,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-17,,,,Data Management and Sharing
UC Love Data 2022,2022-02-14,"Ecology, Evolution and Marine Biology",Post-Doctoral Researcher,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Librarian/Library Staff,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Librarian/Library Staff,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,UC Health,UC San Diego,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Faculty,Faculty,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Department of population health and reproduction,Post-Doctoral Researcher,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Hispanic Studies,Graduate Student,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Political Science,Faculty,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Graduate Student,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Goldman School of Public Policy,Graduate Student,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Graduate Student,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Other/Non-Academia,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Supply Chain Management,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,epidemiology,Graduate Student,UCLA,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Cognitive Science,Graduate Student,UC San Diego,Data Ethics and Justice
UC Love Data 2022,2022-02-14,UC Berkeley Haas,Undergraduate Student,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,UCD Genome Center,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,International education,Faculty,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Population Health,Population Health,UCLA,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Health,UCLA,Data Ethics and Justice
UC Love Data 2022,2022-02-14,NELC,NELC,UCLA,Data Ethics and Justice
UC Love Data 2022,2022-02-14,CDL,CDL,Non-UC affiliate,Data Ethics and Justice
UC Love Data 2022,2022-02-14,emLab,emLab,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,NCEAS,Other/Non-Academia,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Graduate Student,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Humanities,Undergraduate Student,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,HWNI,Graduate Student,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Economics,Undergraduate Student,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,OIT,OIT,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,IET ESA,IET ESA,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Counseling,Counseling,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,OOMPH (Online MPH),Graduate Student,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,PT,Faculty,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Psychology,Graduate Student,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Development and Alumni Relations,Development and Alumni Relations,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Other/Non-Academia,UC Irvine,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Education,Graduate Student,UC Riverside,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Post-Doctoral Researcher,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Faculty,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Department of General Internal Medicine,Department of General Internal Medicine,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Gsm,Graduate Student,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Psychiatry,Psychiatry,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,NCEAS,NCEAS,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Gsm,Graduate Student,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,ASL Interpreter,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,ASL Interpreter,UC Santa Barbara,Data Ethics and Justice
UC Love Data 2022,2022-02-14,MBA,Undergraduate Student,UC Davis,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Medicine,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Integrative Biology / Center for Computational Biology,Graduate Student,UC Berkeley,Data Ethics and Justice
UC Love Data 2022,2022-02-14,DOM,DOM,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,Staff,Psychiatry and Behavioral Sciences,UC San Francisco,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-14,,,,Data Ethics and Justice
UC Love Data 2022,2022-02-15,,,Brown,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,LBL,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Merced,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Merced,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Merced,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,LBL,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Irvine,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Irvine,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Merced,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Francisco,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UCLA,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Cruz,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Berkeley,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Irvine,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC San Diego,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Riverside,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Santa Barbara,High Performance Computing (HPC)
UC Love Data 2022,2022-02-15,,,UC Davis,High Performance Computing (HPC)
UC Love Data 2022,2022-02-14,Other,,Non-UC affiliate,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Other,,UC San Diego,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,History,UC Irvine,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Goldman School of Public Policy,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,Office of Population Health and Accountable Care,UCLA,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Other,,UC Irvine,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Faculty,,UC Riverside,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,SFGH,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Graduate School of Management,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Electrical & Computer Engineering,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Electrical & Computer Engineering,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,,UC Riverside,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,GIF,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,Clinical Pharmacy,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Other,Surgery,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,OBGYN,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Political Science,UC Merced,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,alumni,UC Riverside,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,,UC Santa Barbara,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,School of Public Health,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Santa Barbara,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Education,UC Santa Cruz,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Nursing,UC Irvine,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC San Diego,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,OUT PATIENT SURGERY,UCLA,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,OBGYN,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,Psychiatry,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Faculty,Emergency,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,Radiology,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,Library,UC Santa Barbara,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Haas,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC San Diego,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Irvine,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Sociology,UC Merced,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Bioengineering,UC Riverside,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Santa Cruz,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Psychological Sciences,UC Merced,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,Non-UC affiliate,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,Epidemiology & Biostatistics,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,CDHI,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Undergraduate Student,Mathematics,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Merced,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,Non-UC affiliate,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Undergraduate Student,Department of Nanoengineering,UC San Diego,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,,UC Merced,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Undergraduate Student,Anthropology,UCLA,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,ISF,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UCLA,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Postdoc,Betty Irene Moore school of nursing,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,Neurology,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Graduate Student,Political Science,UC Riverside,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,UCLA Library Data Science Center,UCLA,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,The Library,UC Berkeley,Programming Languages and Tools
UC Love Data 2022,2022-02-14,Staff,,UC San Francisco,Programming Languages and Tools
UC Love Data 2022,2022-02-14,,,UC Davis,Programming Languages and Tools
UC Love Data 2022,2022-02-15,,,UC San Francisco,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Sociology,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Undergraduate Student,Statistics,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Undergraduate Student,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Staff,OIT,UC Irvine,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Other,,UC Irvine,Text Analysis
UC Love Data 2022,2022-02-15,Staff,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Public Health,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Entrepreneurship centre and NeuroEngineering centre,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Other,Library,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,,,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Staff,Neurosciences,UC San Diego,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-15,Other,Education,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Staff,,UC Santa Barbara,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Staff,Library,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Staff,Clinical & Translational Science Center,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Political Science,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,LAEP,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Bioengineering,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Bioengineering,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,Sociology,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Staff,College of Natural and Agricultural Sciences,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-15,Other,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Undergraduate Student,"Statistics, Colleges of Letters and Science",UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Other,ProQuest (vendor),Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,,Psychology,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Other,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Graduate Student,,UC Davis,Text Analysis
UC Love Data 2022,2022-02-15,Other,,UC San Diego,Text Analysis
UC Love Data 2022,2022-02-15,Staff,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,,,UC San Francisco,Text Analysis
UC Love Data 2022,2022-02-15,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Staff,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Staff,Berkeley,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-15,Postdoc,,UC San Francisco,Text Analysis
UC Love Data 2022,2022-02-15,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Other,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Other,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,Other,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-15,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-16,Staff,Library,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-16,Staff,Library,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-16,Staff,,UC Irvine,Text Analysis
UC Love Data 2022,2022-02-16,Graduate Student,Sociology,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,Undergraduate Student,Statistics,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,Graduate Student,,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,Staff,Counseling,UC Irvine,Text Analysis
UC Love Data 2022,2022-02-16,Staff,,UC San Diego,Text Analysis
UC Love Data 2022,2022-02-16,Staff,GIF,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-16,Other,Library,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,,,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,Postdoc,BHHI,UC San Francisco,Text Analysis
UC Love Data 2022,2022-02-16,Graduate Student,,UC Irvine,Text Analysis
UC Love Data 2022,2022-02-16,Graduate Student,,UC Riverside,Text Analysis
UC Love Data 2022,2022-02-16,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-16,,,Non-UC affiliate,Text Analysis
UC Love Data 2022,2022-02-16,Graduate Student,Sociology,UC Davis,Text Analysis
UC Love Data 2022,2022-02-16,Undergraduate Student,Anthropology,UCLA,Text Analysis
UC Love Data 2022,2022-02-16,Staff,Teaching + Learning Commons,UC San Diego,Text Analysis
UC Love Data 2022,2022-02-16,Undergraduate Student,ISF,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-16,Staff,,UC Berkeley,Text Analysis
UC Love Data 2022,2022-02-16,Undergraduate Student,College of Letters and Sciences,UC Berkeley,Text Analysis
